time,value
0,0.0
1,0.4967141530112327
2,0.358449851840048
3,0.12429647711671205
4,-0.1098404798324685
5,5.306545981439466
6,4.725667847415951
7,4.200498040237804
8,1.5879490275442025
9,2.5383187099411058
10,2.110272645764871
11,1.3678658086456985
12,0.7383908477214477
13,1.336111314634056
14,1.4583304798567356
15,0.9428948177642823
16,0.3426409676583706
17,1.2900807887050094
18,0.26852859402941154
19,-1.040479061527892
20,-0.6511301482717688
21,-0.4422665532670135
22,-2.401936677146789
23,-1.6634700971513785
24,-1.4921018159614081
25,-1.6077500983496487
26,-1.9088537939389374
27,-2.369492564898725
28,-1.3123703386798091
29,-0.9882863692850141
30,-1.3733686497013307
31,1.00809079419705
32,1.5902135889100892
33,2.4779620485034464
34,2.270796158398872
35,1.647318763413912
36,0.1391654738664292
37,1.2388124496512496
38,2.4185287943519507
39,1.5203208548962723
40,0.48249097838079025
41,0.4066872333526048
42,1.9021214862360785
43,2.2403027382293983
44,1.841664348214197
45,-5.312952032217563
46,-4.270460414878142
47,-4.490132302715654
48,-4.133019731203908
49,-4.941513334097095
50,-5.443270377681632
51,-4.527868259979558
52,-4.199117150319873
53,-4.102039600971833
54,-3.1333946104389434
55,-3.835447704316296
56,-4.163109850914064
57,-2.5617132129500417
58,-5.216889260513511
59,-4.871371316624745
60,-4.418434990091235
61,-4.5844958984423005
62,-5.527552706909563
63,-4.123593968250269
64,-4.142144772761909
65,-5.815649394752132
66,-5.713301712202465
67,-6.145910992750479
68,-5.668156893316952
69,-5.927185538055842
70,-5.587364573869198
71,-5.594744723813771
72,-6.370080829770715
73,-5.596939973881466
74,-4.191734668003278
75,-2.7994089145113747
76,-3.292841396714701
77,6.16334598001956
78,-0.7163817596757234
79,-0.647818784869696
80,-0.11148275248763073
81,-1.0261736837489082
82,-1.4144380827255223
83,-2.299950456554371
84,-2.6566954823225655
85,-2.1005736837886
86,-0.736687159371495
87,1.8024755568978374
88,0.3624341092140395
89,1.5531613653276797
90,2.1708022108388247
91,3.3878730078189347
92,7.851168440201004
93,4.572483823367845
94,4.7473168353593165
95,3.5304619430000774
96,4.264963007880123
97,3.3104657459187026
98,4.080443105849496
99,5.348832628253398
100,4.481191538274023
101,4.627053390702332
102,5.505726938893227
103,5.266132430699417
104,8.000554589761158
105,8.094320019913106
106,12.017204397912344
107,10.946311899851231
108,11.428784315094417
109,14.775324000229027
110,14.651191611347368
111,15.391532429295106
112,14.939070196950437
113,15.716119991854045
114,14.790073372642567
115,14.277108055006945
116,14.907182993607952
117,16.67012046591118
118,17.727543974773553
119,17.77890483425319
120,16.81989673782641
121,18.201901341998354
122,18.506350461869207
123,18.763557952849315
124,20.200914281182843
125,20.208220653923476
126,20.44051681209988
127,20.6166977341522
128,16.502075943114697
129,18.816734509788205
130,16.949469317196456
131,16.477537451407024
132,17.56648804837439
133,16.851184339114422
134,17.530782088049097
135,17.576353927952912
136,16.924753580347094
137,14.899610993689487
138,15.086065308458915
139,13.71986236269172
140,12.948043284934965
141,14.609345015543118
142,14.927112047980236
143,13.314884740805713
144,13.692181006266122
145,15.34353199274561
146,14.612790589515956
147,12.145911050219482
148,14.017916730691786
149,10.776649390622714
150,9.752261749288424
151,11.384673053220059
152,17.160898120590005
153,15.725035969410566
154,16.130011478181093
155,17.03974965314091
156,16.837292127309357
157,16.89818873442652
158,15.000811751937862
159,16.281352513615325
160,16.968201026381294
161,17.039173442021042
162,16.552740675968682
163,16.760338937254403
164,16.138101772348122
165,15.782613131431763
166,16.144627043374232
167,16.725941177409958
168,17.277678187875033
169,16.56755022994755
170,14.779878618015768
171,13.559308513733914
172,15.112168289573239
173,14.672650414098962
174,14.684796923172188
175,15.615731007146268
176,19.646379764615794
177,19.970546117104238
178,19.840403062736552
179,19.02218237950308
180,21.11456965518854
181,22.272680528688607
182,23.064343222651544
183,23.05209644980463
184,22.154842078318797
185,23.12996181173655
186,22.98290443023441
187,23.395835884510035
188,22.83211133170606
189,23.077077902814782
190,22.57013472744365
191,22.09909642182533
192,22.331146359182966
193,20.883062017685642
194,19.475598243309086
195,18.75715402205665
196,18.543706870344803
197,19.40136649354682
198,19.241427963583394
199,19.222914827591005
200,18.934256188670865
201,19.256974749008954
202,18.42974380545663
203,18.320983656999775
204,18.722695379098717
205,18.946787860909133
206,18.959380261690928
207,18.98389043594987
208,19.48188872719532
209,21.635071184706874
210,20.867723621818826
211,23.057526555036496
212,22.249228269681346
213,20.12533254537154
214,19.599577523690776
215,19.941333499467934
216,21.81750433868382
217,20.91908966733546
218,21.411008838841965
219,20.090775631821323
220,21.922234397675677
221,23.101674518396965
222,22.63249886629226
223,20.919364337201383
