time,value
0,1.1600030023820678
1,3.072212682925734
2,4.464239767398306
3,4.639308031059772
4,3.0530348682153043
5,1.0138327803899858
6,-0.7665274441666206
7,-2.4650309054945323
8,-3.181716123632797
9,-2.3358294977695473
10,-1.1533437103423143
11,0.33370001988081566
12,1.4200294923059609
13,0.9889809890611947
14,0.08186240409226159
15,-1.1731176776280148
16,-2.6469077305536235
17,-3.024971779926752
18,-2.800122666429358
19,-1.3648307475351589
20,1.3537899255641301
21,3.0547102830626627
22,4.348207700715752
23,4.049752422535477
24,2.990988998254936
25,1.0828446897217976
26,-1.3125687227525589
27,-2.5433782476559776
28,-3.2079489844295694
29,-2.5026802564453945
30,-1.1810014942257034
31,0.7973016074966541
32,1.3689375930451666
33,1.1600948522015748
34,0.5913549530155078
35,-1.3048289017740244
36,-2.402568787485786
37,-3.4797552712217636
38,-2.884155061104801
39,-1.0429977600942788
40,1.2083534877789008
41,3.134139199397962
42,4.311572403300518
43,4.2744813206603105
44,2.804161145086488
45,0.9166913301008843
46,-1.1744977614600542
47,-2.407093406081328
48,-3.0190975885321163
49,-2.796949537559287
50,-0.9958433779008662
51,0.3498295145115938
52,1.2362526379315613
53,1.493972295760926
54,0.6330458750940613
55,-0.8744041479565686
56,-2.6121850111312637
57,-3.149663721616049
58,-2.552265165044403
59,-0.8872609818436417
60,0.964825324210759
61,3.0627337478272145
62,4.11343506497696
63,4.095460734962038
64,3.262370707638815
65,1.3319081774939783
66,-1.096772031584162
67,-2.4178112717467024
68,-3.015494041436282
69,-2.5733654574077622
70,-0.9883810506781437
71,0.7344532838880495
72,1.3644718301707621
73,1.6845657691555542
74,-0.09710305022307719
75,-0.8962796709047622
76,-2.4269320928391007
77,-3.1476227165389794
78,-2.6001656960180157
79,-1.4798837901882935
80,1.0167257942123131
81,3.1712880574623252
82,4.6302808687264685
83,4.231048016123443
84,2.938166822581339
85,0.9603087630629079
86,-0.8992895837276789
87,-2.5527676293931694
88,-3.193773287199216
89,-2.3416880198640673
90,-1.0412446619102196
91,0.6205749687014329
92,1.2312264192172817
93,1.3061046086731998
94,0.3484243399684415
95,-1.3533631614062298
96,-2.3851174510738193
97,-3.035610192009828
98,-2.6174951599966247
99,-1.1292874339431458
100,0.7775860233697269
101,3.0157364786069008
102,4.266159156472803
103,4.174246605933851
104,3.0676084008267783
105,1.1414703431427284
106,-0.7051328270260034
107,-2.583602288758732
108,-3.0363111683012507
109,-2.4592306896399676
110,-1.4444144148396507
111,0.4215431955050128
112,1.383683079980958
113,1.8642854604898103
114,0.3883737776386321
115,-1.000350703313086
116,-2.451283860427787
117,-3.321556853969718
118,-2.389953288422131
119,-0.931983400730768
120,1.2188665611884175
121,2.917988052201023
122,4.61526092196539
123,4.05433184721972
124,3.2172369619200354
125,1.498751296941818
126,-1.280477272294202
127,-2.731777397245654
128,-3.0678909734282755
129,-2.545036637309975
130,-1.3707928579930353
131,0.440558565556061
132,1.1591762952475309
133,1.4663555241197896
134,0.24296112374812684
135,-0.7506732907762993
136,-2.600992164953985
137,-3.1522335496869465
138,-2.4558144078511783
